,Address,Baths,Beds,Bike Room,Building Class,Built Year,Cats Only - No Dogs,Cats and Dogs Allowed,Children's Playroom,City,Cold Storage,Community Recreation Facilities,Concierge,Crime,Deck,Doorman,Elevator,Full-time Doorman,Garage Parking,Garden,Green Building,Gym,Hot Tub,Interiors,Land Lease,Laundry in Building,Live-in Super,Media Room,NYC Storm Zone 1,NYC Storm Zone 2,NYC Storm Zone 3,NYC Storm Zone 4,NYC Storm Zone 5,NYC Storm Zone 6,Package Room,Parking Available,Part-time Doorman,Patio,Pets Allowed,Police,Price,Roof Deck,School District,SchoolScore,Smoke-free,Sqft,Storage Available,Stories,Swimming Pool,Units,Valet,Valet Parking,Virtual Doorman,Waterfront,Zipcode,latitude,longitude,std_crime,age,age_sq,Stories_sq,Stories_cubed,travel_minutes,travel_km,central_park_border_km,washington_sq_km,tompkins_sq_km,travel_minutes_grand_central,travel_km_grand_central,Borough,Sqft_sq
2926,429 Kent Avenue #729,2.0,3.0,False,,2015.0,False,False,True, Brooklyn,False,True,True,1693.0,False,True,True,False,False,False,False,True,False,,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,Police Precinct 90,2450000.0,True,District 14,0.2728,False,1748.0,True,8.0,True,216.0,False,False,False,False,11211.0,40.7096014,-73.9682173,0.521420575128,1.0,1.0,64.0,512.0,19.75,7.983,6.10539711632,3.42581292056,2.19095732115,22.12,7.933,Brooklyn,3055504.0
2927,429 Kent Avenue #802,1.5,1.0,False,,2015.0,False,False,True, Brooklyn,False,True,True,1693.0,False,True,True,False,False,False,False,True,False,,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,Police Precinct 90,1250000.0,True,District 14,0.2728,False,945.0,True,8.0,True,216.0,False,False,False,False,11211.0,40.7096014,-73.9682173,0.521420575128,1.0,1.0,64.0,512.0,19.75,7.983,6.10539711632,3.42581292056,2.19095732115,22.12,7.933,Brooklyn,893025.0
2928,429 Kent Avenue #803,2.0,2.0,False,,2015.0,False,False,True, Brooklyn,False,True,True,1693.0,False,True,True,False,False,False,False,True,False,,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,Police Precinct 90,1440000.0,True,District 14,0.2728,False,1059.0,True,8.0,True,216.0,False,False,False,False,11211.0,40.7096014,-73.9682173,0.521420575128,1.0,1.0,64.0,512.0,19.75,7.983,6.10539711632,3.42581292056,2.19095732115,22.12,7.933,Brooklyn,1121481.0
2929,429 Kent Avenue #830,1.5,1.0,False,,2015.0,False,False,True, Brooklyn,False,True,True,1693.0,False,True,True,False,False,False,False,True,False,,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,Police Precinct 90,1825000.0,True,District 14,0.2728,False,1096.0,True,8.0,True,216.0,False,False,False,False,11211.0,40.7096014,-73.9682173,0.521420575128,1.0,1.0,64.0,512.0,19.75,7.983,6.10539711632,3.42581292056,2.19095732115,22.12,7.933,Brooklyn,1201216.0
2930,429 Kent Avenue #832,1.0,1.0,False,,2015.0,False,False,True, Brooklyn,False,True,True,1693.0,False,True,True,False,False,False,False,True,False,,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,Police Precinct 90,1295000.0,True,District 14,0.2728,False,835.0,True,8.0,True,216.0,False,False,False,False,11211.0,40.7096014,-73.9682173,0.521420575128,1.0,1.0,64.0,512.0,19.75,7.983,6.10539711632,3.42581292056,2.19095732115,22.12,7.933,Brooklyn,697225.0
2931,429 Kent Avenue #833,1.5,1.0,False,,2015.0,False,False,True, Brooklyn,False,True,True,1693.0,False,True,True,False,False,False,False,True,False,,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,Police Precinct 90,1350000.0,True,District 14,0.2728,False,909.0,True,8.0,True,216.0,False,False,False,False,11211.0,40.7096014,-73.9682173,0.521420575128,1.0,1.0,64.0,512.0,19.75,7.983,6.10539711632,3.42581292056,2.19095732115,22.12,7.933,Brooklyn,826281.0
2932,429 Kent Avenue #912,2.0,2.0,False,,2015.0,False,False,True, Brooklyn,False,True,True,1693.0,False,True,True,False,False,False,False,True,False,,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,Police Precinct 90,1975000.0,True,District 14,0.2728,False,1210.0,True,8.0,True,216.0,False,False,False,False,11211.0,40.7096014,-73.9682173,0.521420575128,1.0,1.0,64.0,512.0,19.75,7.983,6.10539711632,3.42581292056,2.19095732115,22.12,7.933,Brooklyn,1464100.0
2933,429 Kent Avenue #D323,3.5,3.0,False,,2015.0,False,False,True, Brooklyn,False,True,True,1693.0,False,True,True,False,False,False,False,True,False,,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,Police Precinct 90,2585000.0,True,District 14,0.2728,False,2261.0,True,8.0,True,216.0,False,False,False,False,11211.0,40.7096014,-73.9682173,0.521420575128,1.0,1.0,64.0,512.0,19.75,7.983,6.10539711632,3.42581292056,2.19095732115,22.12,7.933,Brooklyn,5112121.0
2934,429 Kent Avenue #D715,4.5,3.0,False,,2015.0,False,False,True, Brooklyn,False,True,True,1693.0,False,True,True,False,False,False,False,True,False,,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,Police Precinct 90,2660000.0,True,District 14,0.2728,False,2547.0,True,8.0,True,216.0,False,False,False,False,11211.0,40.7096014,-73.9682173,0.521420575128,1.0,1.0,64.0,512.0,19.75,7.983,6.10539711632,3.42581292056,2.19095732115,22.12,7.933,Brooklyn,6487209.0
2935,429 Kent Avenue #D717,3.5,3.0,False,,2015.0,False,False,True, Brooklyn,False,True,True,1693.0,False,True,True,False,False,False,False,True,False,,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,Police Precinct 90,2670000.0,True,District 14,0.2728,False,2557.0,True,8.0,True,216.0,False,False,False,False,11211.0,40.7107106,-73.968537,0.521420575128,1.0,1.0,64.0,512.0,19.38,7.859,5.98071749531,3.32209161425,2.07223851651,21.77,7.809,Brooklyn,6538249.0
2936,429 Kent Avenue #D727,3.5,3.0,False,,2015.0,False,False,True, Brooklyn,False,True,True,1693.0,False,True,True,False,False,False,False,True,False,,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,Police Precinct 90,2510000.0,True,District 14,0.2728,False,2404.0,True,8.0,True,216.0,False,False,False,False,11211.0,40.7096014,-73.9682173,0.521420575128,1.0,1.0,64.0,512.0,19.75,7.983,6.10539711632,3.42581292056,2.19095732115,22.12,7.933,Brooklyn,5779216.0
2937,429 Kent Avenue #L32,3.5,3.0,False,,2015.0,False,False,True, Brooklyn,False,True,True,1693.0,False,True,True,False,False,False,False,True,False,,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,Police Precinct 90,3725000.0,True,District 14,0.2728,False,3486.0,True,8.0,True,216.0,False,False,False,False,11211.0,40.7096014,-73.9682173,0.521420575128,1.0,1.0,64.0,512.0,19.75,7.983,6.10539711632,3.42581292056,2.19095732115,22.12,7.933,Brooklyn,12152196.0
2938,429 Kent Avenue #L63,3.5,3.0,False,,2015.0,False,False,True, Brooklyn,False,True,True,1693.0,False,True,True,False,False,False,False,True,False,,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,Police Precinct 90,3825000.0,True,District 14,0.2728,False,3485.0,True,8.0,True,216.0,False,False,False,False,11211.0,40.7096014,-73.9682173,0.521420575128,1.0,1.0,64.0,512.0,19.75,7.983,6.10539711632,3.42581292056,2.19095732115,22.12,7.933,Brooklyn,12145225.0
2939,429 Kent Avenue #L65,3.5,3.0,False,,2015.0,False,False,True, Brooklyn,False,True,True,1693.0,False,True,True,False,False,False,False,True,False,,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,Police Precinct 90,3665000.0,True,District 14,0.2728,False,3341.0,True,8.0,True,216.0,False,False,False,False,11211.0,40.7096014,-73.9682173,0.521420575128,1.0,1.0,64.0,512.0,19.75,7.983,6.10539711632,3.42581292056,2.19095732115,22.12,7.933,Brooklyn,11162281.0
2940,429 Kent Avenue #PH5,6.0,6.0,False,,2015.0,False,False,True, Brooklyn,False,True,True,1693.0,False,True,True,False,False,False,False,True,False,,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,Police Precinct 90,6420000.0,True,District 14,0.2728,False,5086.0,True,8.0,True,216.0,False,False,False,False,11211.0,40.7096014,-73.9682173,0.521420575128,1.0,1.0,64.0,512.0,19.75,7.983,6.10539711632,3.42581292056,2.19095732115,22.12,7.933,Brooklyn,25867396.0
2941,429 Kent Avenue #TH2,4.5,4.0,False,,2015.0,False,False,True, Brooklyn,False,True,True,1693.0,False,True,True,False,False,False,False,True,False,,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,Police Precinct 90,3625000.0,True,District 14,0.2728,False,3384.0,True,8.0,True,216.0,False,False,False,False,11211.0,40.7096014,-73.9682173,0.521420575128,1.0,1.0,64.0,512.0,19.75,7.983,6.10539711632,3.42581292056,2.19095732115,22.12,7.933,Brooklyn,11451456.0
