,Address,Baths,Beds,Bike Room,Building Class,Built Year,Cats Only - No Dogs,Cats and Dogs Allowed,Children's Playroom,City,Cold Storage,Community Recreation Facilities,Concierge,Crime,Deck,Doorman,Elevator,Full-time Doorman,Garage Parking,Garden,Green Building,Gym,Hot Tub,Interiors,Land Lease,Laundry in Building,Live-in Super,Media Room,NYC Storm Zone 1,NYC Storm Zone 2,NYC Storm Zone 3,NYC Storm Zone 4,NYC Storm Zone 5,NYC Storm Zone 6,Package Room,Parking Available,Part-time Doorman,Patio,Pets Allowed,Police,Price,Roof Deck,School District,SchoolScore,Smoke-free,Sqft,Storage Available,Stories,Swimming Pool,Units,Valet,Valet Parking,Virtual Doorman,Waterfront,Zipcode,latitude,longitude,std_crime,age,age_sq,Stories_sq,Stories_cubed,travel_minutes,travel_km,central_park_border_km,washington_sq_km,tompkins_sq_km,travel_minutes_grand_central,travel_km_grand_central,Borough,Sqft_sq
931,199 Bowery #2E,1.0,,True,RM,2000,False,False,False, New York,False,False,True,950,False,False,True,True,False,False,False,True,False,,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,Police Precinct 5,2800,True,District 2,1.7612,False,450.0,False,12,False,63,False,False,True,False,10002,40.721138,-73.993373,-0.720554216647,16,256,144,1728,13.32,3.344,5.10717573513,1.1372218046,1.14228189347,15.82,4.013,Manhattan,202500.0
932,56 Leonard Street #29BW,3.5,3.0,False,,2015,False,True,True, New York,False,False,False,1389,False,True,True,False,False,False,False,True,False,,False,False,True,True,False,False,True,False,False,False,False,False,False,False,False,Police Precinct 1,22000,False,District 2,1.7612,False,2177.0,False,60,True,146,False,False,False,False,10013,40.7176819,-74.0060133,0.0132639981433,1,1,3600,216000,10.38,3.357,5.89285194486,1.627035083,2.26637894946,23.53,5.708,Manhattan,4739329.0
933,56 Leonard Street #31BW,3.5,3.0,False,,2015,False,True,True, New York,False,False,False,1389,False,True,True,False,False,False,False,True,False,,False,False,True,True,False,False,True,False,False,False,False,False,False,False,False,Police Precinct 1,23000,False,District 2,1.7612,False,2177.0,False,60,True,146,False,False,False,False,10013,40.7176819,-74.0060133,0.0132639981433,1,1,3600,216000,10.38,3.357,5.89285194486,1.627035083,2.26637894946,23.53,5.708,Manhattan,4739329.0
934,56 Leonard Street #32BE,2.5,2.0,False,,2015,False,True,True, New York,False,False,False,1389,False,True,True,False,False,False,False,True,False,,False,False,True,True,False,False,True,False,False,False,False,False,False,False,False,Police Precinct 1,14500,False,District 2,1.7612,False,1668.0,False,60,True,146,False,False,False,False,10013,40.7176819,-74.0060133,0.0132639981433,1,1,3600,216000,10.38,3.357,5.89285194486,1.627035083,2.26637894946,23.53,5.708,Manhattan,2782224.0
935,56 Leonard Street #43WEST,4.5,4.0,False,,2015,False,True,True, New York,False,False,False,1389,False,True,True,False,False,False,False,True,False,,False,False,True,True,False,False,True,False,False,False,False,False,False,False,False,Police Precinct 1,40000,False,District 2,1.7612,False,3412.0,False,60,True,146,False,False,False,False,10013,40.7176819,-74.0060133,0.0132639981433,1,1,3600,216000,10.38,3.357,5.89285194486,1.627035083,2.26637894946,23.53,5.708,Manhattan,11641744.0
936,56 Leonard Street 11A-WEST,3.5,3.0,False,,2015,False,True,True, New York,False,False,False,1389,False,True,True,False,False,False,False,True,False,,False,False,True,True,False,False,True,False,False,False,False,False,False,False,False,Police Precinct 1,20000,False,District 2,1.7612,False,2309.0,False,60,True,146,False,False,False,False,10013,40.7176819,-74.0060133,0.0132639981433,1,1,3600,216000,10.38,3.357,5.89285194486,1.627035083,2.26637894946,23.53,5.708,Manhattan,5331481.0
937,56 Leonard Street 11BWEST,2.5,2.0,False,,2015,False,True,True, New York,False,False,False,1389,False,True,True,False,False,False,False,True,False,,False,False,True,True,False,False,True,False,False,False,False,False,False,False,False,Police Precinct 1,13500,False,District 2,1.7612,False,1733.0,False,60,True,146,False,False,False,False,10013,40.7176819,-74.0060133,0.0132639981433,1,1,3600,216000,10.38,3.357,5.89285194486,1.627035083,2.26637894946,23.53,5.708,Manhattan,3003289.0
938,56 Leonard Street 14BWEST,2.5,2.0,False,,2015,False,True,True, New York,False,False,False,1389,False,True,True,False,False,False,False,True,False,,False,False,True,True,False,False,True,False,False,False,False,False,False,False,False,Police Precinct 1,14000,False,District 2,1.7612,False,1733.0,False,60,True,146,False,False,False,False,10013,40.7176819,-74.0060133,0.0132639981433,1,1,3600,216000,10.38,3.357,5.89285194486,1.627035083,2.26637894946,23.53,5.708,Manhattan,3003289.0
939,56 Leonard Street 16A-WEST,3.5,3.0,False,,2015,False,True,True, New York,False,False,False,1389,False,True,True,False,False,False,False,True,False,,False,False,True,True,False,False,True,False,False,False,False,False,False,False,False,Police Precinct 1,19500,False,District 2,1.7612,False,2303.0,False,60,True,146,False,False,False,False,10013,40.7176819,-74.0060133,0.0132639981433,1,1,3600,216000,10.38,3.357,5.89285194486,1.627035083,2.26637894946,23.53,5.708,Manhattan,5303809.0
940,56 Leonard Street 20BWEST,3.0,3.0,False,,2015,False,True,True, New York,False,False,False,1389,False,True,True,False,False,False,False,True,False,,False,False,True,True,False,False,True,False,False,False,False,False,False,False,False,Police Precinct 1,21000,False,District 2,1.7612,False,2252.0,False,60,True,146,False,False,False,False,10013,40.7176819,-74.0060133,0.0132639981433,1,1,3600,216000,10.38,3.357,5.89285194486,1.627035083,2.26637894946,23.53,5.708,Manhattan,5071504.0
941,56 Leonard Street 20BWFURN,3.0,3.0,False,,2015,False,True,True, New York,False,False,False,1389,False,True,True,False,False,False,False,True,False,,False,False,True,True,False,False,True,False,False,False,False,False,False,False,False,Police Precinct 1,23000,False,District 2,1.7612,False,2252.0,False,60,True,146,False,False,False,False,10013,40.7176819,-74.0060133,0.0132639981433,1,1,3600,216000,10.38,3.357,5.89285194486,1.627035083,2.26637894946,23.53,5.708,Manhattan,5071504.0
